_RAJ2000|_DEJ2000|Name|Morph|LAS|RAJ2000|DEJ2000|z|BA|CBA|EBA|Asym
deg|deg| | |arcmin|deg|deg| |deg|deg|deg|
-----------|-----------|----------------|-|------|---------|---------|-------|-----|-----|-----|-----
216.8177000|+33.2366700|J142716.2+331411|2| 0.465|216.81770|+33.23667| 0.2429| 15.9| 10.7|  7.7| 0.85
216.9068200|+34.5298200|J142737.6+343147|2| 0.503|216.90682|+34.52982| 0.5084| 54.8| 38.5| 37.8| 3.02
216.9180100|+48.2255900|J142740.3+481332|2| 0.375|216.91801|+48.22559| 0.4863|  4.7|  2.8| -6.7| 1.07
216.9297700|+24.5000900|J142743.1+243000|2| 0.665|216.92977|+24.50009| 0.5488|  9.6|  8.4|  4.1| 1.06
216.9909400|+32.7651800|J142757.7+324555|2| 0.391|216.99094|+32.76518| 0.4352|  9.0|  5.4| -4.9| 1.16
217.0167000|+04.4177100|J142803.8+042504|2| 0.620|217.01670|+04.41771| 0.7500|  5.9|  4.8| -5.5| 0.90
217.0428500|+09.8779100|J142810.2+095240|2| 1.186|217.04285|+09.87791| 0.3781|  8.5| 14.9| 13.0| 1.01
217.0910800|+23.8886200|J142821.8+235319|3| 0.797|217.09108|+23.88862| 0.1355| 59.9| 62.3| 61.4| 1.04
217.1013000|+17.0304800|J142824.3+170149|2| 0.724|217.10130|+17.03048| 0.5487|  6.7|  6.3| -3.7| 1.03
217.2609700|+31.5730800|J142902.6+313422|3| 0.724|217.26097|+31.57308| 0.4972| 12.3| 11.6|  9.1| 1.24
217.3384000|+40.3884200|J142921.2+402318|2| 0.431|217.33840|+40.38842| 0.5256| 13.7|  8.8|  4.8| 0.83
217.4537300|+35.2969300|J142948.7+351747|2| 0.256|217.45373|+35.29693| 0.3564| 26.3| 13.3| 11.1| 0.63
217.4578900|+07.0495900|J142949.9+070258|2| 0.366|217.45789|+07.04959| 0.6263| 17.8| 10.4|  7.4| 0.70
217.5037500|+21.3776900|J143000.9+212239|2| 0.681|217.50375|+21.37769| 0.6661|  4.5|  4.0| -6.1| 0.60
217.5577500|+15.2874000|J143013.8+151713|2| 0.602|217.55775|+15.28740| 0.5646|  5.3|  4.2| -6.0| 0.93
