FCG|RAJ2000|DEJ2000|Size|RAc|DEc|Group|Com|Tno
 |"h:m:s"|"d:m:s"|arcmin|"h:m:s"|"d:m:s"| | |
----------------|------------|------------|-----|------------|------------|------|------------------------------------------------------------------------------------------------------------------------|--
J144147.9+342713|14 41 47.978|+34 27 13.93| 0.40|            |            |498899|                                                                                                                        |11
J144407.4+414748|14 44 07.082|+41 47 51.53| 1.06|14 44 07.428|+41 47 48.95|501455|x? dl butterfly                                                                                                         |11
J144446.8+360615|14 44 46.842|+36 06 15.47| 0.83|            |            |502191|                                                                                                                        |11
J144628.3+583327|14 46 28.319|+58 33 27.65| 0.68|            |            |504068|                                                                                                                        |11
J144900.9+400039|14 49 00.902|+40 00 39.86| 1.57|            |            |506876|                                                                                                                        |11
J144959.4+565233|14 49 59.401|+56 52 33.37| 0.67|            |            |508015|dl                                                                                                                      |11
J145000.0+540507|14 50 00.398|+54 05 04.33| 0.46|14 50 00.046|+54 05 07.08|508031|dl                                                                                                                      |11
J145039.7+441828|14 50 40.382|+44 18 33.78| 1.92|14 50 39.798|+44 18 28.99|508812|mg distorted, core id ambiguous                                                                                         |11
J145056.3+164104|14 50 56.368|+16 41 04.02| 0.77|            |            |509097|dl?                                                                                                                     |11
J145108.9+045700|14 51 08.997|+04 57 00.12| 0.69|            |            |509350|dl?                                                                                                                     |11
J145223.7+021200|14 52 24.214|+02 12 02.51| 0.72|14 52 23.729|+02 12 00.06|510784|mg nat? tri? unu int                                                                                                    |11
J145405.8+095952|14 54 05.853|+09 59 50.77| 0.94|14 54 05.802|+09 59 52.93|512687|x dl?                                                                                                                   |11
J145411.3+375703|14 54 11.392|+37 57 03.54| 0.78|            |            |512798|dl                                                                                                                      |11
J145546.6+361413|14 55 46.626|+36 14 15.56| 1.02|14 55 46.622|+36 14 13.00|514529|                                                                                                                        |11
J145755.8+314057|14 57 55.936|+31 40 53.71| 0.67|14 57 55.870|+31 40 57.38|516917|dl                                                                                                                      |11
J145836.7+432852|14 58 36.519|+43 28 54.34| 1.07|14 58 36.772|+43 28 52.67|517630|                                                                                                                        |11
J145936.5+165527|14 59 36.861|+16 55 21.58| 1.44|14 59 36.587|+16 55 27.08|518751|dd                                                                                                                      |11
J145941.9+290333|14 59 42.339|+29 03 28.38| 0.87|14 59 41.912|+29 03 33.21|518886|ring-lobe dl?                                                                                                           |11
J150014.1+231750|15 00 14.169|+23 17 50.09| 0.60|            |            |519468|dl?                                                                                                                     |11
J150031.4+362849|15 00 31.493|+36 28 49.47| 0.84|15 00 31.464|+36 28 49.85|519738|w?                                                                                                                      |11
J150051.7+432745|15 00 52.015|+43 27 45.34| 1.35|15 00 51.774|+43 27 45.41|520162|dl dd?                                                                                                                  |11
J150058.0+355334|15 00 58.199|+35 53 32.44| 0.57|15 00 58.070|+35 53 34.02|520291|                                                                                                                        |11
J150157.1+075223|15 01 57.153|+07 52 23.91| 0.96|            |            |521444|x                                                                                                                       |11
J150333.9-044433|15 03 33.968|-04 44 33.75| 0.48|            |            |523295|                                                                                                                        |11
